epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,34205.2,1.31693,0.6382,0.94187,0.87081,0.75084,0.84149,0.49555,1.30725,0.59486,0.97901,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,34342.9,1.31818,0.64085,0.94288,0.86953,0.75148,0.84166,0.49548,1.30745,0.59456,0.97902,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,34480.3,1.305,0.63591,0.94163,0.87026,0.75113,0.84149,0.49556,1.30772,0.59451,0.97904,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,34617.5,1.29863,0.62858,0.93808,0.8701,0.75148,0.84191,0.49575,1.30801,0.59432,0.97905,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,34811.6,1.2587,0.59898,0.94517,0.87047,0.75178,0.84205,0.49584,1.30827,0.59436,0.97907,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,34947.6,1.25487,0.59116,0.93967,0.86988,0.75261,0.84185,0.49573,1.30859,0.59436,0.97903,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,35118.7,1.25235,0.59116,0.94136,0.8696,0.75332,0.84198,0.49585,1.30874,0.59419,0.97907,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,35261.1,1.25172,0.58731,0.93968,0.86949,0.7531,0.84191,0.49568,1.30903,0.59404,0.97917,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,35399.6,1.24166,0.58158,0.93765,0.86946,0.75409,0.84219,0.49607,1.30916,0.5938,0.9793,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,35532.7,1.23753,0.57922,0.93483,0.86936,0.75351,0.8421,0.49624,1.30948,0.59375,0.97942,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,35666,1.23567,0.57748,0.93429,0.86895,0.75464,0.84251,0.49633,1.30986,0.59366,0.97946,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,35798.6,1.22951,0.57438,0.93389,0.86944,0.75448,0.84247,0.49629,1.30996,0.5936,0.9795,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,35931.5,1.23205,0.57535,0.93297,0.86946,0.75479,0.84258,0.49657,1.31023,0.59364,0.97959,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,36064.3,1.2234,0.56933,0.93074,0.86864,0.75491,0.84265,0.49662,1.31036,0.59362,0.97967,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
